,1 (least deprived),2,3,4 (most deprived),var,var_value,comp_1_2_sig_diff,chi_2_comp_1_2,dof_comp_1_2,p_val_comp_1_2,comp_1_3_sig_diff,chi_2_comp_1_3,dof_comp_1_3,p_val_comp_1_3,comp_1_4_sig_diff,chi_2_comp_1_4,dof_comp_1_4,p_val_comp_1_4,comp_2_3_sig_diff,chi_2_comp_2_3,dof_comp_2_3,p_val_comp_2_3,comp_2_4_sig_diff,chi_2_comp_2_4,dof_comp_2_4,p_val_comp_2_4,comp_3_4_sig_diff,chi_2_comp_3_4,dof_comp_3_4,p_val_comp_3_4
0,16104,12213,9917,3200,brave_is_mentioned,True,,,,,,,,,,,,,,,,,,,,,,,,
1,37219,30593,25727,9237,brave_is_mentioned,False,True,31.780080517461037,1.0,1.7265441534493057e-08,True,58.28918021451159,1.0,2.2628518790072427e-14,True,97.00236393697607,1.0,6.924460932684067e-23,False,4.78849735760011,1.0,0.028650410469186312,True,37.45679893036946,1.0,9.346033326874641e-10,True,20.247455347106257,1.0,6.804390746722177e-06
2,10516,7742,6076,1839,nice_is_mentioned,True,,,,,,,,,,,,,,,,,,,,,,,,
3,42807,35064,29568,10598,nice_is_mentioned,False,True,41.15274440810722,1.0,1.407854443558543e-10,True,100.58226429924497,1.0,1.1358023742707573e-23,True,160.6322763858006,1.0,8.231997192765446e-37,True,14.422031102571843,1.0,0.00014608325731779295,True,72.96600939370923,1.0,1.3190202901340637e-17,True,34.0743869279145,1.0,5.304491422201644e-09
4,38449,30597,25455,8792,thank_is_mentioned,True,,,,,,,,,,,,,,,,,,,,,,,,
5,14874,12209,10189,3645,thank_is_mentioned,False,False,4.590002221928323,1.0,0.03215897255815519,False,5.011392775429346,1.0,0.025181040566209602,True,9.890763057260266,1.0,0.001661104738221038,False,0.03568964701759796,1.0,0.8501578401094587,False,2.871346191466367,1.0,0.09016941861312965,False,2.311743341065023,1.0,0.1283999695409303
6,8418,6389,5047,1541,self_reliance_is_mentioned,True,,,,,,,,,,,,,,,,,,,,,,,,
7,44905,36417,30597,10896,self_reliance_is_mentioned,False,True,13.452795692181406,1.0,0.0002446413592067208,True,43.921095968783185,1.0,3.4188400312923486e-11,True,90.25953098036798,1.0,2.0888165339274225e-21,True,9.103227580452476,1.0,0.002551588465850454,True,50.168429686827324,1.0,1.4109969894803324e-12,True,24.25184740641786,1.0,8.452597094532895e-07
8,31116,24397,20327,6766,battle_is_mentioned,True,,,,,,,,,,,,,,,,,,,,,,,,
9,22207,18409,15317,5671,battle_is_mentioned,False,True,17.929487432719885,1.0,2.2924171950990138e-05,True,15.347262430375444,1.0,8.945044512360713e-05,True,64.32164861272456,1.0,1.056781725884255e-15,False,0.007583523876647286,1.0,0.9306051958505457,True,26.22919706602426,1.0,3.0320346456670123e-07,True,25.734940205366907,1.0,3.9167139550270595e-07
10,36338,28877,23937,8012,tx_type_is_mentioned,True,,,,,,,,,,,,,,,,,,,,,,,,
11,16985,13929,11707,4425,tx_type_is_mentioned,False,False,5.102046906776888,1.0,0.02389762677358469,True,9.560776826588192,1.0,0.001987789718896974,True,63.6025692810429,1.0,1.5223049866423865e-15,False,0.8054268946856376,1.0,0.3694757541501319,True,39.993289626819646,1.0,2.548368039508585e-10,True,30.813920919596,1.0,2.8399326356836816e-08
12,22275,17525,14145,4617,oop_type_is_mentioned,True,,,,,,,,,,,,,,,,,,,,,,,,
13,31048,25281,21499,7820,oop_type_is_mentioned,False,False,6.760132857571788,1.0,0.009321681996858087,True,38.49492472990947,1.0,5.4896257089684e-10,True,90.04749078250921,1.0,2.3251138350041798e-21,True,12.701913631256346,1.0,0.0003652815750586915,True,58.31745827364783,1.0,2.2305586214192666e-14,True,25.30605741627403,1.0,4.891701365795774e-07
14,14680,12062,10190,3502,insurance_type_is_mentioned,True,,,,,,,,,,,,,,,,,,,,,,,,
15,38643,30744,25454,8935,insurance_type_is_mentioned,False,False,4.9325220863969435,1.0,0.02635582460624882,True,11.819653455150293,1.0,0.0005860876745150496,False,1.9543206615317628,1.0,0.16212201812698668,False,1.5886643484942125,1.0,0.2075170649820475,False,0.0010986209539018384,1.0,0.9735585976039434,False,0.817352041969529,1.0,0.36595550574315217
16,44730,35748,29474,10133,ctype_is_mentioned,True,,,,,,,,,,,,,,,,,,,,,,,,
17,8593,7058,6170,2304,ctype_is_mentioned,False,False,2.4008403591625083,1.0,0.12127008950572588,True,21.95893151284266,1.0,2.7854756205227014e-06,True,42.207019507346416,1.0,8.210478457191712e-11,True,9.309479400220006,1.0,0.0022797125016880545,True,28.266605524188975,1.0,1.0570392500068407e-07,True,9.296056576250216,1.0,0.002296476533737128
