,percent_mentioned,overall_mean,overall_std_err,overall_sd,comparison_var,t_stat,mean_diff,lower_ci,upper_ci,n_missing_g1,n_g1,mean_g1,fmtd_mean_g1,std_err_g1,sd_g1,name_g1,low_mean_ci_g1,up_mean_ci_g1,fmtd_mean_std_g1,n_missing_g2,n_g2,mean_g2,fmtd_mean_g2,std_err_g2,sd_g2,name_g2,low_mean_ci_g2,up_mean_ci_g2,fmtd_mean_std_g2,var_name,fmtd_var_name,variable,coef,std err,z,p_value,coef_low_ci,coef_up_ci,percent_diff,percent_diff_lower,percent_diff_upper,percent_diff_frmt,percent_diff_lower_frmt,percent_diff_upper_frmt,fmt_coef,pct_ci_frmt,var_val,var_name_w_val,orig_varname_w_val,fmt_varname_w_val,fmt_ref,order,varname_w_ref,labels
0,14.84%,6364.678323673279,30.618111349241783,11607.414450124057,raised_amnt,15.713,1351.2355,1182.6889999999999,1519.7820000000002,31.0,21364.0,7515.051067215877,"7,515.05",91.64994395432355,"13,395.95",Self-reliance is mentioned,7387.175128721214,7700.550517225239,"$7,515.05 ($13,395.95)",460.0,122355.0,6163.815561276613,"6,163.82",32.17349011782932,"11,254.06",Self-reliance is not mentioned,6103.099249928486,6219.434143067304,"$6,163.82 ($11,254.06)",self_reliance_is_mentioned,"Self-
Reliance",self_reliance_is_mentioned[T.True],0.0511,0.006999999999999999,7.111000000000001,0.0,0.037000000000000005,0.065,0.052428130834322184,0.037693020838157176,0.06715902438419263,5.24%,3.77%,6.72%,0.051 (0.007),"5.24%
(3.77%, 6.72%)",True,self_reliance_is_mentionedTrue,self_reliance_is_mentionedTrue,Self-Reliance is Mentioned,(ref: Self-Reliance Not Mentioned),6.0,"Self-Reliance is Mentioned
(ref: Self-Reliance Not Mentioned)",5.24%***
1,28.73%,6364.678323673279,30.618111349241783,11607.414450124057,raised_amnt,33.051,2226.7298,2094.683,2358.777,68.0,41366.0,7950.49842866122,"7,950.50",64.29744713351273,"13,077.22",Bravery is mentioned,7824.319171541846,8101.224194991055,"$7,950.50 ($13,077.22)",423.0,102353.0,5723.768585190468,"5,723.77",34.04639597364113,"10,892.35",Bravery is not mentioned,5649.371847674225,5797.881401375631,"$5,723.77 ($10,892.35)",brave_is_mentioned,Bravery,brave_is_mentioned[T.True],0.1433,0.006,24.828000000000003,0.0,0.132,0.155,0.15407597252954353,0.1411083192672351,0.167657961105125,15.41%,14.11%,16.77%,0.143 (0.006),"15.41%
(14.11%, 16.77%)",True,brave_is_mentionedTrue,brave_is_mentionedTrue,Bravery is Mentioned,(ref: Bravery Not Mentioned),12.0,"Bravery is Mentioned
(ref: Bravery Not Mentioned)",15.41%***
2,57.28%,6364.678323673279,30.618111349241783,11607.414450124057,raised_amnt,28.15,1738.0326,1617.019,1859.046,159.0,82447.0,7105.657125183451,"7,105.66",43.901711455808965,"12,605.76",Militaristic Metaphors is mentioned,7035.694099239512,7200.191459058547,"$7,105.66 ($12,605.76)",332.0,61272.0,5367.624543021282,"5,367.62",40.494527422314995,"10,023.68",Militaristic Metaphors is not mentioned,5294.112945962266,5421.590359789137,"$5,367.62 ($10,023.68)",battle_is_mentioned,"Militaristic
Metaphors",battle_is_mentioned[T.True],0.1126,0.005,21.409000000000002,0.0,0.102,0.12300000000000001,0.11918416973401968,0.10738347172793339,0.1308844209474893,11.92%,10.74%,13.09%,0.113 (0.005),"11.92%
(10.74%, 13.09%)",True,battle_is_mentionedTrue,battle_is_mentionedTrue,Militaristic Metaphors,(ref: Militaristic Metaphos Not Used),11.0,"Militaristic Metaphors
(ref: Militaristic Metaphos Not Used)",11.92%***
3,67.38%,6364.678323673279,30.618111349241783,11607.414450124057,raised_amnt,15.427,1007.2857,879.315,1135.257,223.0,96941.0,6692.532045264646,"6,692.53",37.307627288224566,"11,615.86",Treatment is mentioned,6632.043871787995,6783.374793946834,"$6,692.53 ($11,615.86)",268.0,46778.0,5685.246376501775,"5,685.25",53.45077877879279,"11,560.45",Treatment is not mentioned,5607.884077450939,5794.929783231433,"$5,685.25 ($11,560.45)",tx_type_is_mentioned,Treatment,tx_type_is_mentioned[T.True],0.0647,0.006,11.377,0.0,0.054000000000000006,0.076,0.06683892469423158,0.05548460215508011,0.07896257415728392,6.68%,5.55%,7.90%,0.065 (0.006),"6.68%
(5.55%, 7.90%)",True,tx_type_is_mentionedTrue,tx_type_is_mentionedTrue,Treatment Type is Mentioned,(ref: Treatment Type Not Mentioned),8.0,"Treatment Type is Mentioned
(ref: Treatment Type Not Mentioned)",6.68%***
4,40.61%,6364.678323673279,30.618111349241783,11607.414450124057,raised_amnt,14.107999999999999,878.7648,756.679,1000.85,117.0,58445.0,6886.083206433399,"6,886.08",49.436620948498174,"11,951.50",OOP Cost is mentioned,6794.720779365215,6970.5661224227915,"$6,886.08 ($11,951.50)",374.0,85274.0,6007.318420620588,"6,007.32",38.873805673999826,"11,351.82",OOP Cost is not mentioned,5933.848635867908,6071.492616741329,"$6,007.32 ($11,351.82)",oop_type_is_mentioned,"OOP
Cost",oop_type_is_mentioned[T.True],0.0714,0.005,12.981,0.0,0.061,0.08199999999999999,0.07401074425665555,0.06289891418719518,0.08545580982954903,7.40%,6.29%,8.55%,0.071 (0.005),"7.40%
(6.29%, 8.55%)",True,oop_type_is_mentionedTrue,oop_type_is_mentionedTrue,Out-of-Pocket Cost is Mentioned,(ref: Out-of-Pocket Cost Not Mentioned),10.0,"Out-of-Pocket Cost is Mentioned
(ref: Out-of-Pocket Cost Not Mentioned)",7.40%***
5,28.04%,6364.678323673279,30.618111349241783,11607.414450124057,raised_amnt,13.712,933.8065,800.327,1067.286,105.0,40329.0,7036.449279674675,"7,036.45",66.68627133133147,"13,391.99",Insurance is mentioned,6905.752020258375,7204.860470753056,"$7,036.45 ($13,391.99)",386.0,103390.0,6102.642818454396,"6,102.64",33.65228951560948,"10,820.66",Insurance is not mentioned,6047.807245623368,6162.907166070219,"$6,102.64 ($10,820.66)",insurance_type_is_mentioned,Insurance,insurance_type_is_mentioned[T.True],0.0141,0.006,2.344,0.019,0.002,0.026000000000000002,0.014199873855047507,0.002002001334000303,0.02634094847344204,1.42%,0.20%,2.63%,0.014 (0.006),"1.42%
(0.20%, 2.63%)",True,insurance_type_is_mentionedTrue,insurance_type_is_mentionedTrue,Insurance is Mentioned,(ref: Insurance Not Mentioned),9.0,"Insurance is Mentioned
(ref: Insurance Not Mentioned)",1.42%*
6,83.27%,6364.678323673279,30.618111349241783,11607.414450124057,raised_amnt,19.101,1567.3168,1406.494,1728.14,319.0,119766.0,6625.895972145684,"6,625.90",33.276650574225144,"11,516.13",Cancer Type is mentioned,6553.391460222434,6686.572745603928,"$6,625.90 ($11,516.13)",172.0,23953.0,5058.5791758861105,"5,058.58",77.33226526228415,"11,968.53",Cancer Type is not mentioned,4930.766234918382,5215.432512628899,"$5,058.58 ($11,968.53)",ctype_is_mentioned,"Cancer
Type",ctype_is_mentioned[T.True],0.0921,0.006999999999999999,12.755,0.0,0.078,0.106,0.0964744640450319,0.08112265867008306,0.11182187650653086,9.65%,8.11%,11.18%,0.092 (0.007),"9.65%
(8.11%, 11.18%)",True,ctype_is_mentionedTrue,ctype_is_mentionedTrue,Cancer Type is Mentioned,(ref: Cancer Type Not Mentioned),7.0,"Cancer Type is Mentioned
(ref: Cancer Type Not Mentioned)",9.65%***
7,18.15%,6364.678323673279,30.618111349241783,11607.414450124057,raised_amnt,25.985,2057.532,1902.339,2212.725,27.0,26146.0,8047.894936127897,"8,047.89",81.59668024555363,"13,193.96",Warmth is mentioned,7907.669524018971,8186.539689627477,"$8,047.89 ($13,193.96)",464.0,117573.0,5990.362948976381,"5,990.36",32.63403885422079,"11,189.86",Warmth is not mentioned,5939.985559184506,6049.557995883408,"$5,990.36 ($11,189.86)",nice_is_mentioned,Warmth,nice_is_mentioned[T.True],0.1295,0.006999999999999999,19.577,0.0,0.11699999999999999,0.142,0.1382591114627849,0.1241194296905368,0.15257664853700503,13.83%,12.41%,15.26%,0.130 (0.007),"13.83%
(12.41%, 15.26%)",True,nice_is_mentionedTrue,nice_is_mentionedTrue,Warmth is Mentioned,(ref: Warmth Not Mentioned),4.0,"Warmth is Mentioned
(ref: Warmth Not Mentioned)",13.83%***
8,71.63%,6364.678323673279,30.618111349241783,11607.414450124057,raised_amnt,10.777000000000001,732.1567,599.002,865.311,261.0,103032.0,6571.952655485675,"6,571.95",37.15452558123371,"11,926.08",Gratitude is mentioned,6512.001313426896,6635.689338506483,"$6,571.95 ($11,926.08)",230.0,40687.0,5839.795954481776,"5,839.80",53.24759550152595,"10,740.58",Gratitude is not mentioned,5754.333626834124,5927.42292194067,"$5,839.80 ($10,740.58)",thank_is_mentioned,Gratitude,thank_is_mentioned[T.True],0.001,0.006,0.18100000000000002,0.857,-0.01,0.012,0.0010005001667083846,-0.009950166250831893,0.012072288866077807,0.10%,-1.00%,1.21%,0.001 (0.006),"0.10%
(-1.00%, 1.21%)",True,thank_is_mentionedTrue,thank_is_mentionedTrue,Gratitude is Mentioned,(ref: Gratitude Not Mentioned),5.0,"Gratitude is Mentioned
(ref: Gratitude Not Mentioned)",0.10%
