cancer_type
malignan
carcinoma
cancer
radiation therap
radiotherap
immuno therap
immunotherap
 chemo 
chemotherap
lymphoma
sarcoma
melanoma
glioblastoma
myeloma
neuroblastoma
astrocytoma
renal cell
squamous cell
medulloblastoma
adenocarcinoma
retinoblastoma
ductal carcinoma
mastectomy
neuroendocrine tumor
histiocytosis
luekemia
carcinoid
lukemia
germ cell tumor
desmoplastic
wilms tumor
seminoma
ependymoma
thymoma
nueroblastoma
lumpectomy
myloma
langerhans
ductile carcinoma
oligodendroglioma
wilm's tumor
clear cell
non-hodgkins lymphoma
non hodgkins lymphoma
neurblastoma
neruoblastoma
rhabdomyosaroma
nuroblastoma
nonhodgkins lymphoma
rhabdomyosarcoma
