"","unemployment_rate","percent_poverty","no_health_insurance","ed_percent_highschool","has_internet","percent_single_parent","percent_less_35k","state_county_fips","weighted_unemployment_rate","weighted_percent_poverty","weighted_no_health_insurance","weighted_ed_percent_highschool","weighted_has_internet","weighted_percent_single_parent","weighted_percent_less_35k"
"1",0.037,0.123,0.071,0.105,0.892,0.044,0.304,1001,0.0127949972107738,0.0568791884602897,0.019894389614411,-0.0348507212161336,-0.400260556826805,0.00877414001755232,0.147925005244996
"2",0.043,0.069,0.089,0.108,0.909,0.052,0.288,1003,0.0148698616233318,0.031907837428943,0.0249380376856701,-0.0358464561080232,-0.407888840981575,0.0103694382025618,0.140139478653154
"3",0.092,0.237,0.113,0.04,0.772,0.047,0.527,1005,0.0318145876592215,0.109596485082022,0.0316629017806823,-0.0132764652251938,-0.346413845146068,0.00937237683693089,0.256435782118792
"4",0.073,0.15,0.107,0.039,0.781,0.052,0.382,1007,0.0252441836861214,0.0693648639759631,0.0299816857569293,-0.0129445535945639,-0.350452348522124,0.0103694382025618,0.185879447380225
"5",0.034,0.096,0.108,0.045,0.81,0.053,0.367,1009,0.0117575650044949,0.0443935129446164,0.0302618884275548,-0.014936023378343,-0.363465303844968,0.010568850475688,0.178580516200373
"6",0.039,0.257,0.114,0.046,0.773,0.12,0.49,1011,0.0134866186816265,0.11884513361215,0.0319431044513078,-0.0152679350089728,-0.346862567743408,0.0239294727751427,0.238431751875157
"7",0.068,0.156,0.087,0.064,0.733,0.035,0.426,1013,0.0235151300089898,0.0721394585350016,0.0243776323444191,-0.02124234436031,-0.328913663849829,0.00697942955941662,0.20728964550779
"8",0.081,0.133,0.095,0.08,0.857,0.039,0.383,1015,0.0280106695695319,0.061503512725354,0.0266192537094232,-0.0265529304503875,-0.384555265919923,0.00777707865192138,0.186366042792215
"9",0.039,0.129,0.103,0.038,0.794,0.053,0.432,1017,0.0134866186816265,0.0596537830193283,0.0288608750744272,-0.0126126419639341,-0.356285742287537,0.010568850475688,0.210209217979731
"10",0.044,0.118,0.086,0.061,0.814,0.05,0.409,1019,0.0152156723587581,0.0545670263277576,0.0240974296737936,-0.0202466094684205,-0.365260194234326,0.00997061365630946,0.199017523503958
"11",0.064,0.154,0.13,0.046,0.801,0.056,0.399,1021,0.0221318870672845,0.0712145936819888,0.0364263471813159,-0.0152679350089728,-0.359426800468913,0.0111670872950666,0.194151569384057
"12",0.079,0.184,0.103,0.043,0.763,0.058,0.488,1023,0.0273190480986793,0.0850875664771814,0.0288608750744272,-0.0142722001170833,-0.342375341770013,0.011565911841319,0.237458561051177
